Адрес	Широта	Долгота	"Уникальный идентификатор объявления"	"Начало размещения"	"Окончание размещения"	"Способ размещения"	"Услуга продвижения"	"Номер объявления на Авито"	"Контактное лицо"	"Номер телефона"	"Идентификатор адреса"	"Способ связи"	Addresses	"Адреса отгрузки"	Категория	"Описание объявления"	"Названия фото"	"Ссылки на фото"	"Ссылка на видео"	"Настройка цены целевого действия"	"Настройка цены целевого действия: автоматическая"	"Настройка цены целевого действия: ручная"	"Название объявления"	"Интернет звонки"	"Устройства для приёма звонков"	"Способ доставки"	"Вес (Для Доставки)"	"Длина (Для Доставки)"	"Высота (Для Доставки)"	"Ширина (Для Доставки)"	Возвраты	"Субсидирование доставки"	Цена	"URL видеофайла"	"Вид товара"	"Вид объявления"	"Тип товара"	"Вид запчасти"	"Тип детали двигателя"	Состояние	Происхождение	Доступность	Производитель	"Номер детали OEM"	"Производитель оригинала"	"Номер оригинала"	"Авто для которых подходит запчасть"	"Включая НДС"	"Оптовые продажи"	"Тип минимального заказа"	"Количество в минимальном заказе"	Фасовка	"Количество в фасовке"	"В чём измеряются товары"	"Скидка за опт"	"Размер скидки за опт"
"Краснодарский край, Сочи"			8171893939					8171893939							"Запчасти и аксессуары"	"Двигатель Chery Eastar Cross SQR481FC
Город: Краснодарский край, Сочи
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/sochi/zapchasti_i_aksessuary/dvigatel_chery_eastar_cross_sqr481fc_8171893939"							"Двигатель Chery Eastar Cross SQR481FC"										116100							new																
"Свердловская обл., Екатеринбург, Ветеринарная ул., 9"			8171893569					8171893569							"Запчасти и аксессуары"	"Двигатель Volkswagen Golf CCZ
Город: Свердловская обл., Екатеринбург, Ветеринарная ул., 9
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/ekaterinburg/zapchasti_i_aksessuary/dvigatel_volkswagen_golf_ccz_8171893569"							"Двигатель Volkswagen Golf CCZ"										168300							new																
"Алтайский край, Барнаул"			8171892591					8171892591							"Запчасти и аксессуары"	"Двигатель Hyundai Santa Fe G4KE в наличии
Город: Алтайский край, Барнаул
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/barnaul/zapchasti_i_aksessuary/dvigatel_hyundai_santa_fe_g4ke_v_nalichii_8171892591"							"Двигатель Hyundai Santa Fe G4KE в наличии"										135000							new																
"Алтайский край, Барнаул"			8171890119					8171890119							"Запчасти и аксессуары"	"Двигатель Hyundai Grandeur G4KE в наличии
Город: Алтайский край, Барнаул
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/barnaul/zapchasti_i_aksessuary/dvigatel_hyundai_grandeur_g4ke_v_nalichii_8171890119"							"Двигатель Hyundai Grandeur G4KE в наличии"										135000							new																
"Краснодарский край, Армавир"			8171890043					8171890043							"Запчасти и аксессуары"	"Двигатель Geely Vision JL4G18
Город: Краснодарский край, Армавир
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/armavir/zapchasti_i_aksessuary/dvigatel_geely_vision_jl4g18_8171890043"							"Двигатель Geely Vision JL4G18"										135000							new																
"Самарская обл., Самара"			8171889823					8171889823							"Запчасти и аксессуары"	"Двигатель Opel Astra Z16XER
Город: Самарская обл., Самара
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_opel_astra_z16xer_8171889823"							"Двигатель Opel Astra Z16XER"										116100							new																
"Краснодарский край, Армавир"			8171889606					8171889606							"Запчасти и аксессуары"	"Двигатель Нyundаi ix35 G4NA в наличии
Город: Краснодарский край, Армавир
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/armavir/zapchasti_i_aksessuary/dvigatel_nyundai_ix35_g4na_v_nalichii_8171889606"							"Двигатель Нyundаi ix35 G4NA в наличии"										135000							new																
"Краснодарский край, Сочи"			8171889332					8171889332							"Запчасти и аксессуары"	"Двигатель Hyundai Coupe G4GC в наличии
Город: Краснодарский край, Сочи
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/sochi/zapchasti_i_aksessuary/dvigatel_hyundai_coupe_g4gc_v_nalichii_8171889332"							"Двигатель Hyundai Coupe G4GC в наличии"										115200							new																
"Краснодарский край, Армавир"			8171889144					8171889144							"Запчасти и аксессуары"	"Двигатель Chery Very SQR477F в наличии
Город: Краснодарский край, Армавир
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/armavir/zapchasti_i_aksessuary/dvigatel_chery_very_sqr477f_v_nalichii_8171889144"							"Двигатель Chery Very SQR477F в наличии"										94500							new																
"Алтайский край, Барнаул"			8171888915					8171888915							"Запчасти и аксессуары"	"Двигатель Kia Soul G4GC в наличии
Город: Алтайский край, Барнаул
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/barnaul/zapchasti_i_aksessuary/dvigatel_kia_soul_g4gc_v_nalichii_8171888915"							"Двигатель Kia Soul G4GC в наличии"										115200							new																
"Ульяновская обл., Ульяновск, Профсоюзная ул., 64А"			8171888284					8171888284							"Запчасти и аксессуары"	"Двигатель Chery Tiggo sqrd4T20
Город: Ульяновская обл., Ульяновск, Профсоюзная ул., 64А
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/ulyanovsk/zapchasti_i_aksessuary/dvigatel_chery_tiggo_sqrd4t20_8171888284"							"Двигатель Chery Tiggo sqrd4T20"										161100							new																
"Краснодарский край, Армавир"			8171888117					8171888117							"Запчасти и аксессуары"	"Двигатель Chery Fora SQR481F в наличии
Город: Краснодарский край, Армавир
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/armavir/zapchasti_i_aksessuary/dvigatel_chery_fora_sqr481f_v_nalichii_8171888117"							"Двигатель Chery Fora SQR481F в наличии"										116100							new																
"Краснодарский край, Краснодар, Новороссийская ул., 57/6"			8171887820					8171887820							"Запчасти и аксессуары"	"Двигатель Skoda Octavia CHP
Город: Краснодарский край, Краснодар, Новороссийская ул., 57/6
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/krasnodar/zapchasti_i_aksessuary/dvigatel_skoda_octavia_chp_8171887820"							"Двигатель Skoda Octavia CHP"										130500							new																
"Краснодарский край, Сочи"			8171887400					8171887400							"Запчасти и аксессуары"	"Двигатель Chery Arrizo sqre4G16 в наличии
Город: Краснодарский край, Сочи
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/sochi/zapchasti_i_aksessuary/dvigatel_chery_arrizo_sqre4g16_v_nalichii_8171887400"							"Двигатель Chery Arrizo sqre4G16 в наличии"										121500							new																
"Краснодарский край, Армавир"			8171884394					8171884394							"Запчасти и аксессуары"	"Двигатель Vortex Corda SQR477F в наличии
Город: Краснодарский край, Армавир
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/armavir/zapchasti_i_aksessuary/dvigatel_vortex_corda_sqr477f_v_nalichii_8171884394"							"Двигатель Vortex Corda SQR477F в наличии"										94500							new																
"Ставропольский край, Ставрополь, Селекционная ул., 19/1"			8171882256					8171882256							"Запчасти и аксессуары"	"Двигатель baic U5 A151A1
Город: Ставропольский край, Ставрополь, Селекционная ул., 19/1
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/stavropol/zapchasti_i_aksessuary/dvigatel_baic_u5_a151a1_8171882256"							"Двигатель baic U5 A151A1"										107100							new																
"Иркутская обл., Иркутск"			8140882919					8140882919							"Запчасти и аксессуары"	"Двигатель Kia Sportage G4KE в наличии
Город: Иркутская обл., Иркутск
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/irkutsk/zapchasti_i_aksessuary/dvigatel_kia_sportage_g4ke_v_nalichii_8140882919"							"Двигатель Kia Sportage G4KE в наличии"										135000							new																
